StudyID,Authors,Title,Journal,Abstract,Year,DOI,Included,Methods,Obs_exp,Species,Order,Class,Methods_subgroup,n_indiv,Spatial_area_sqkm,Days_obs_per_indiv,Fixes_per_indiv,Temporal_range,Stage,Indiv_ID,Primary_alt_behav,Keywords,Notes,Assumptions
Blake_2015,"Blake, Stephen; Guezou, Anne; Deem, Sharon L.; Yackulic, Charles B.; Cabrera, Fredy",The Dominance of Introduced Plant Species in the Diets of Migratory Galapagos Tortoises Increases with Elevation on a Human-Occupied Island,BIOTROPICA,"The distribution of resources and food selection are fundamental to the ecology, life history, physiology, population dynamics, and conservation of animals. Introduced plants are changing foraging dynamics of herbivores in many ecosystems often with unknown consequences. Galapagos tortoises, like many herbivores, undertake migrations along elevation gradients driven by variability in vegetation productivity which take them into upland areas dominated by introduced plants. We sought to characterize diet composition of two species of Galapagos tortoises, focussing on how the role of introduced forage species changes over space and the implications for tortoise conservation. We quantified the distribution of tortoises with elevation using GPS telemetry. Along the elevation gradient, we quantified the abundance of introduced and native plant species, estimated diet composition by recording foods consumed by tortoises, and assessed tortoise physical condition from body weights and blood parameter values. Tortoises ranged between 0 and 429m in elevation over which they consumed at least 64 plant species from 26 families, 44 percent of which were introduced species. Cover of introduced species and the proportion of introduced species in tortoise diets increased with elevation. Introduced species were positively selected for by tortoises at all elevations. Tortoise physical condition was either consistent or increased with elevation at the least biologically productive season on Galapagos. Santa Cruz tortoises are generalist herbivores that have adapted their feeding behavior to consume many introduced plant species that has likely made a positive contribution to tortoise nutrition. Some transformed habitats that contain an abundance of introduced forage species are compatible with tortoise conservation.",2015,10.1111/btp.12195,yes,ethology_remote,obs,Chelonoidis_porteri,tortoise,reptile,"GPS, direct_obs, fecal_analysis",25,986,0.0935,8760,365,ABC,yes,n/a,"food_choice, activity_budget, movement, diet_composition",combined GPS tracking + direct focal obs of feeding + fecal analysis,
van_Beest_2012,"van Beest, Floris M.; Van Moorter, Bram; Milner, Jos M.",Temperature-mediated habitat use and selection by a heat-sensitive northern ungulate,ANIMAL BEHAVIOUR,"The behavioural response of animals to unfavourable climatic conditions has received increased attention recently. While many studies have examined the behavioural responses of endotherms to cold temperatures, thermoregulatory behaviour may also occur in response to heat stress. We evaluated whether a heat-sensitive northern ungulate, the moose, Alces alces, showed thermoregulatory behaviour in response to ambient temperature in two populations in southern Norway. We quantified the seasonal habitat use of GPS-collared adult females, as well as fine-scale habitat selection patterns, in relation to time of day and critical temperature thresholds thought to induce heat stress. We also assessed whether temperature-associated changes in spatial behaviour led to a shift in the availability of thermal cover and forage at the chosen location. Frequent exposure to temperatures above critical thresholds occurred in both summer and winter and in both study areas. Moose responded by seeking thermal shelter in mature coniferous forest and avoiding open habitat types, leading to a decrease in local forage availability in summer but not in winter. Differences in habitat choice in response to temperature were most pronounced at twilight. We found that fine-scale habitat selection analyses, using step-selection functions, more effectively revealed thermoregulatory behaviour in both seasons and populations than did habitat use. This is because habitat selection analyses are better able to identify limiting factors operating at different spatiotemporal scales than is habitat use. Our results clearly show that ambient temperature affected fine-scale behavioural decisions of moose with consequences for forage accessibility, especially during summer. As the climate changes, the limiting effect of ambient temperature (cold and high) on animal behaviour is likely to increase, potentially influencing individual fitness and population dynamics. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2012,10.1016/j.anbehav.2012.06.032,yes,remote,obs,Alces_alces,ungulate,mammal,GPS,31,733,,16225.54839,210,C,yes,habitat_selection,"forage_availability, movement, habitat_selection",,
Maynard_2018,"Maynard, Laurie D.; Ronconi, Robert A.",FORAGING BEHAVIOUR OF GREAT BLACK-BACKED GULLS LARUS MARINUS NEAR AN URBAN CENTRE IN ATLANTIC CANADA: EVIDENCE OF INDIVIDUAL SPECIALIZATION FROM GPS TRACKING,MARINE ORNITHOLOGY,"Researchers studying the feeding behaviour of large Laridae have focused primarily on dietary reconstructions and behavioural observations on feeding grounds, but little is known about individual-level foraging habits. The recent development of GPS tracking technologies has allowed new ways to quantify individual-level foraging behaviour. We provide the first known tracking data of Great Black-backed Gull Larus marinus using GPS devices deployed on three incubating adults on Devil's Island in Nova Scotia, Canada. Distance travelled and maximum foraging trip distance from the nest differed among individuals, and individuals showed differences in preference for habitat use. One individual visited coastal environments during 81% of its foraging trips, whereas the second visited urban areas during 71% of its foraging trips. The third individual did not display strong preference for any habitat relative to the other individuals but was the only tracked individual visiting salt marshes (24% of its trips). Calculation of core foraging/roosting area (50% utilization) using kernel density estimators also revealed different degrees of consistency in visited habitat and diversity of locations used among individuals. This study, although limited in sample size, suggests presence of variation in foraging behaviour among individuals. While dietary studies have presented Great Black-backed Gulls as generalists at the population level, telemetry data may reveal strong behavioural and habitat specialization at the individual level.",2018,,yes,remote,obs,Larus marinus,charadriform,bird,"GPS, fecal_analysis",3,12,55,,77,ABC,yes,nest_attendance,"foraging_area, diet_analysis",for one of those 3 only 11 days recorded,
Melber_2013,"Melber, Markus; Fleischmann, Daniela; Kerth, Gerald",Female Bechstein's Bats Share Foraging Sites with Maternal Kin but do not Forage Together with them - Results from a Long-Term Study,ETHOLOGY,"In many social animals, group members exchange information about where to feed. Thereby, they may gain direct benefits, for example, if social hunting enhances individual foraging success. Alternatively, individuals may receive indirect fitness benefits by preferentially sharing information about suitable feeding sites with kin. Indeed, in some species, a positive correlation between the degree of relatedness among individuals and the overlap among their foraging areas was found. However, sharing foraging sites with kin can also have costs if it increases food competition, which is not compensated by direct benefits. The goal of this study was to investigate whether sharing of individual foraging areas in female Bechstein's bats is best explained by kin selection or by direct benefits through social foraging. To assess their individual foraging behaviour, we analysed radio-tracking data of 22 members of one maternity colony, including nine mother-daughter pairs, seven pairs of less closely related individuals and six pairs of unrelated bats. We examined the bats' fidelity to specific foraging areas during several years and quantified the influence of kinship on the overlap among individual foraging areas. By measuring how close to each other the bats foraged, we assessed whether individuals with overlapping areas are likely to forage together. Our study confirms previous findings that Bechstein's bats show high fidelity to foraging areas across years. Moreover, we found that relatives share foraging areas significantly more often compared with unrelated colony members. Finally, our data reveal for the first time that most colony members that share foraging areas are unlikely to forage together. This suggests that female Bechstein's bats gain no direct benefits from sharing foraging areas with members of the same maternal lineage. Our findings also have implications for conservation as habitat loss within a colony's home range might expose entire matrilines to high risks.",2013,10.1111/eth.12123,yes,telem,obs,Myotis_bechsteinii,bat,mammal,radio_triang,22,3.008,,164.3636364,350,C,yes,resting,"foraging_area, inferred_foraging",area where bats spent time outside their roost is assumed to be foraging,
Tang_2010,"Tang, Zhanhui; Chen, Zhong; Ma, Jie; Zhu, Guangjian; Ma, Xunfeng; Sheng, Lianxi; Li, Yuchun",Foraging areas of Rousettus leschenaulti on the Hainan Island of China,CURRENT ZOOLOGY,"We investigated the foraging area of three individuals (1 female and 2 males) of Rousettus leschenaulti (Chiroptera, Pteropodidae) in suburban Haikou City, Hainan Province, South China from November 2005 to January 2006 using radio telemetry. These animals left the daytime roosting sites about 90 min after sunset with no significant difference in departure time between the male and female bats. The average active times were 391.8 min for males and 533.7 min for the female, respectively. By reconstructing 93 radio-telemetry recording positions, we found that the long axis of foraging area of the bats ranged from 7.45 to 11.70 km. The foraging area of the female (3867 ha) was larger than that of the males (1138 ha), and there was overlap between the foraging areas of different individuals. These bats usually kept the same flight routes across a few successive days from the daytime roosting site to the foraging areas. Our findings suggested that female R. leschenaulti may explore a larger foraging area than males. No obvious territorial behaviors were observed in our studied area [Current Zoology 56 (4): 479-484, 2010].",2010,10.1093/czoolo/56.4.479,yes,telem,obs,Rousettus_leschenaulti,bat,mammal,radio_triang,3,38.67,,31,44,C,yes,resting,"foraging_area, inferred_foraging","area where bats flew to and from relative to their roost, no explicit obs of foraging",
Womack_2013,"Womack, Kathryn M.; Amelon, Sybill K.; Thompson, Frank R.",Resource selection by Indiana bats during the maternity season,JOURNAL OF WILDLIFE MANAGEMENT,"Little information exists on resource selection by foraging Indiana bats (Myotis sodalis) during the maternity season. Existing studies are based on modest sample sizes because of the rarity of this endangered species and the difficulty of radio-tracking bats. Our objectives were to determine resource selection by foraging Indiana bats during the maternity season and to compare resource use between pregnant and lactating individuals. We used an information theoretic approach with discrete choice modeling based on telemetry data to evaluate our hypotheses that land cover, percent canopy cover, distance to water, and prescribed fire affected the relative probability a point was used by a foraging Indiana bat. We fit models for individual bats and a population-level model based on all individuals with a random factor to account for differences in sample size among individuals. We radio-tracked 29 individuals and found variation in resource selection among individuals. However, among individuals with the same supported covariates, the magnitude and direction of the covariates were similar. Eighteen bats selected areas with greater canopy closure and 5 of 6 bats that had areas burned by low-intensity prescribed fire in their home range selected burned areas. Resource selection was related to land cover for 13 individuals; they selected forest and shrubland over agricultural land, which composed >50% of the landscape within 10km. We found no support for our hypothesis that resource selection was related to individual reproductive condition or Julian date in our population-level model indicating habitat selection was not determined by reproductive status or date within the maternity season. Land use or forest management that greatly reduces canopy cover may have a negative impact on Indiana bat use. Maintaining forest cover in agricultural landscapes is likely critical to persistence of maternity colonies in these landscapes. Sites managed with low severity prescribed fire may be selected by some individuals because of reduced understory vegetation. (c) 2013 The Wildlife Society.",2013,10.1002/jwmg.498,yes,telem,obs,Myotis_sodalis,bat,mammal,radio_triang,29,6.62,,107.7241379,90,BC,yes,resting,"foraging_area, inferred_foraging, movement, habitat_selection",,
Encarnacao_2012,"Encarnacao, Jorge A.",Spatiotemporal pattern of local sexual segregation in a tree-dwelling temperate bat Myotis daubentonii,JOURNAL OF ETHOLOGY,"Sexual segregation is a common phenomenon in temperate bats, but little is known about driving forces or spatiotemporal patterns. Sexual segregation of the tree-dwelling Daubenton's bat (Myotis daubentonii) was analyzed. Day roosts and foraging areas of radio-tracked animals were recorded during late spring, early summer, and late summer. Home ranges were calculated for each sex based on identified locations. Distance analysis between sex-specific roosts and foraging areas was conducted for each period. Mixed colonies were confirmed by trapping at roosts. Home range of males was larger (47.3 km(2)) than of females (9.7 km(2)). During late spring, distances between male and female roosts were larger (median = 715 m) than during early (median = 474 m) and late summer (median = 489 m). Distances between sex-specific foraging areas were larger during early summer (median = 2,134 m) than during both late spring (median = 1,116 m) and late summer (median = 628 m). The proportion of males in mixed groups increased from late spring (0.2 +/- A 0.1) to late summer (0.5 +/- A 0.2). These results show that sexual segregation is not static, but depends on energetic demand of individuals and mating willingness. A high energetic demand in females and low mating willingness in both sexes leads to distinct sexual segregation during late spring. When mating willingness increases, despite an increasing energy demand in males, sexes aggregate to mate.",2012,10.1007/s10164-011-0323-8,yes,remote,obs,Myotis_daubentonii,bat,mammal,"radio_tracking, direct_obs",54,47.3,1.5,,86,BC,yes,resting,"foraging_area, movement, circadian",,
Sangavi_2021,"Sangavi, Dhanapal; Murugan, Chinnaperamanoor Madhappan; Mahandran, Valliyappan; Marimuthu, Ganapathy; Nathan, Parthasarathy Thiruchenthil",Adaptive foraging tactics of greater short-nosed fruit bats on a spiny shrub and its effect on seed dispersal,JOURNAL OF ETHOLOGY,"Many plant species have seeds embedded in their fleshy pulp to attract frugivores, which enhances the chance of seed dispersal. However, some tropical plants are evolved with sharp spines to avoid herbivores and/or to prevent water loss, which makes foraging by frugivores difficult. Such plants receive frugivores' attention, either because of resource scarcity or adaptive behavioural plasticity. We have a limited understanding of how fruit-eating animals access fruits protected by spines. In this 1-year study, we describe bat foraging on a spiny tropical shrub, Ziziphus mauritiana (Rhamnaceae) whose dried branches are often used by the local people to capture bats in caves that inevitably damage their wing membranes. The greater short-nosed fruit bat, Cynopterus sphinx was the only visitor to this spiny plant during its fruiting season and predominantly extracted fruits using a hovering tactic (on 81% observations) without damaging wing membranes. The hovering enabled them to extract fruits quicker than when alighting on the tree. Bats carried all the fruits away from the parent tree to feeding roosts for consumption. Bat foraging has thus effectuated short-distance seed dispersal (range 11-70 m radii) in which most seeds (30.73%) were found at the distance of 31-40 m in our search up to 150 m. Although bats extracted both ripe and unripe fruits, ripe-fruit extraction was 4.5 x higher than the unripe fruits. This study shows the tradeoff between getting a good meal and contending with spines in a resource-scarce habitat. Besides, this study describes the adaptive foraging tactics of greater short-nosed fruit bats that facilitate short-distance seed dispersal.",2021,10.1007/s10164-021-00711-4,yes,ethology,obs,Cynopterus_sphinx,bat,mammal,direct_obs,n/a,n/a,12.83333333,,60,A,no,n/a,"foraging_mode, fixed_obs_point","watched trees and waited for bats to appear, didn't follow individuals or investigate other behaviour",
Wappl_2020,"Wappl, Christian; Cimadom, Arno; Filek, Nikolaus; Heyer, Eileen; Tebbich, Sabine","Under adverse conditions, older small tree finch males (Camarhynchus parvulus) produce more offspring than younger males",ETHOLOGY,"Females of many bird species prefer mating with older males, presumably because they provide superior parental care and possibly superior genes. A previous study found that female small tree finches (Camarhynchus parvulus) preferred pairing with old males and had a higher breeding success when paired with old males because their nests were more concealed, higher up in the canopy and therefore less likely to be depredated. However, causes for brood loss have changed over the last decade: predation of small tree finch nests has decreased, whereas brood losses due to parasitism by the invasive parasitic flyPhilornis downsihave increased. In the present study, we investigated (a) how the change in predation and parasitism byP. downsiinfluenced the breeding success of small tree finches, (b) whether there were still differences in breeding success between young and old males, (c) whetherP. downsiinfestation had a differential effect on nests of young and old males and (d) whether young and old males differed in foraging success. During 2012-2016, we found an overall low influence of predation and a high influence ofP. downsi, but neither differed between nests of young and old males. Nests of old males had more fledglings than those of young males. However, the difference in breeding success disappeared whenP. downsinumbers were experimentally reduced by injecting an insecticide into nests. This indicates that older males were able to compensate for the detrimental effects of parasitism.",2020,10.1111/eth.13069,yes,ethology,obs,Camarhynchus_parvulus,passerine,bird,direct_obs,154,0.2,n/a,n/a,120,AB,yes,n/a,foraging_success,"details are given in a cited paper, no idea how long these observations were",
Yosef_2012,"Yosef, Reuven; Zduniak, Piotr; Tryjanowski, Piotr",Unmasking Zorro: functional importance of the facial mask in the Masked Shrike (Lanius nubicus),BEHAVIORAL ECOLOGY,"The facial mask is a prominent feature in the animal kingdom. We hypothesized that the facial mask of shrikes allows them to hunt into the sun, which accords them detection and surprise-attack capabilities. We conducted a field experiment to determine whether the mask facilitated foraging while facing into the sun. Male shrikes with white-painted masks hunted facing away from the sun more than birds with black-painted masks, which are the natural color, and more than individuals in the control group who were not painted. Furthermore, individuals with white-painted masks hunted at a greater angle in relation to the sun during the experiment than after the paint had eroded from the masks. Mean hunting success was significantly reduced in birds with white-painted masks compared with individuals with black-painted and natural masks. Moreover, individuals with white masks hunted with lower success during the experiment than in the following week when they reverted to their natural mask. We conclude that the facial mask of the Masked Shrike helps overcome the glare of the sun, perhaps allows better identification of prey from their larger shadow, and allows the shrike to approach the prey without alerting it to the stealth attack.",2012,10.1093/beheco/ars005,yes,ethology,exp,Lanius_nubicus,passerine,bird,direct_obs,20,n/a,0.166666667,25,180,B,yes,n/a,"foraging_success, manipulation",painted masks black and noted difference in hunting strategy,
Wright_2010,"Wright, Jonathan; Radford, Andrew N.",Variance-Sensitive Green Woodhoopoes: A New Explanation for Sex Differences in Foraging?,ETHOLOGY,"Studies of cooperatively breeding birds rarely benefit from the extensive research on adaptive foraging behaviour, despite the potential for concepts such as state-dependent foraging to explain many aspects of behaviour in social groups. For example, sex differences in preferred foraging techniques used by green woodhoopoes, Phoeniculus purpureus, have previously been explained by sexual dimorphism in bill length and the benefits afforded by foraging specialization and niche differentiation within cooperative groups. Contrary to this argument, there were no sex differences in mean foraging success and/or prey size captured when males and females used the same foraging techniques. Subordinates of both sexes did experience lower and more varied foraging success compared with dominants, but probably only as a consequence of competition or inexperience. However, dominant males experienced greater variance in individual foraging success compared with dominant females, and dominant males also experienced greater variances in prey size when using their preferred foraging techniques. Dominant males therefore appeared to specialize in foraging techniques that provided more variable rewards, whilst dominant females consistently chose to minimize variation in reward. Dominant females also experienced less variance in foraging returns when using the same techniques as males, suggesting a possible link with sexual dimorphism in bill length. Partitioning of foraging niches in dominant green woodhoopoes therefore appears to be better explained by sex differences in variance (risk) sensitivity to foraging rewards. We suggest that this kind of detailed analysis of state-dependent foraging has the potential to explain many of the crucial age and sex differences in behaviour within cooperative groups.",2010,10.1111/j.1439-0310.2010.01811.x,yes,ethology,obs,Phoeniculus_purpureus,passerine,bird,direct_obs,55,n/a,0.008399832,,240,AB,yes,ethogram,"foraging_success, sex_differences, niche_differentiation",,
Bates_2014,"Bates, Elizabeth M.; Ballard, Bart M.",Factors Influencing Behavior and Success of Foraging Reddish Egrets (Egretta rufescens),WATERBIRDS,"The Reddish Egret (Egretta rufescens) is the rarest and least studied species of heron in North America and is a species of conservation concern throughout its range. Foraging behavior and foraging success of the Reddish Egret were studied by focusing on whether their foraging behavior or success varied with age, color morph, group size, and habitat measures. Foraging individuals (n = 372) were video-recorded in the Laguna Madre of Texas, USA, from March 2008-April 2010. Adult Reddish Egrets were 30-250% more successful foragers than juveniles, and groups were 32-44% more successful foragers than solitary foragers. Foraging success was similar between color morphs. The more specialized foraging behaviors of canopy feeding, wing flicking, and foot-stirring had the highest success, but were employed infrequently. Four environmental variables (wind speed, light intensity, water depth, and percent seagrass coverage) were found to influence foraging success, but accounted for only 3% of the variation in foraging behavior. Our results suggest that environmental variables have little influence on foraging behavior of Reddish Egrets in the Laguna Madre, and we suggest that characteristics of the prey have a stronger influence. An understanding of how environmental variables influence foraging behavior and success may allow us to better assess habitat quality or possibly aid in identification of highly productive foraging sites and allow for more targeted conservation actions to those habitats that promote high foraging success.",2014,10.1675/063.037.0213,yes,audio video,obs,Egretta_rufescens,heron,bird,direct_video,372,930,0.008185857,,730,AB,no,ethogram,"foraging_success, social","only recorded foraging behaviours on video, doesn't report on what else they did",
Tan_2017,"Tan, Amanda W. Y.",From Play to Proficiency: The Ontogeny of Stone-Tool Use in Coastal-Foraging Long-Tailed Macaques (Macaca fascicularis) From a Comparative Perception-Action Perspective,JOURNAL OF COMPARATIVE PSYCHOLOGY,"Macaques crack shellfish in coastal environments with specialized stone-hammering techniques. I provide the first examination of skill development from 866 object-manipulation and 7,400 tool-use bouts, collected over 15 months, using longitudinal analyses of infants' object manipulation (N = 7) and cross-sectional comparisons of manipulative and tool-use behavior (N = 69). I adopt a Perception-action approach, examining how the emergence of actions on objects relate to the spatial-relational and percussive challenges of tool use. Infants begin manipulating single items, particularly stones, at 1-2 months. Combining objects predominates (78%) by 1.5-2.5 years, and bouts involving food and tools but with incorrect spatial relations and action sequences prevail (73%) by 2.5-3.5 years. Placing, precedes rubbing objects on surfaces. Percussion emerges last, as disorganized striking before becoming consistent and targeted. Macaques manipulate combinations of stones and oysters, before stones, anvils, and motile shellfish, but success on either food type is only observed at 2.5-3.5 years. After competence, success rates and strike accuracy improve within 3 months on oysters and 5 months on motile shellfish. Older tool users (>4.5 years) had higher success rates, strike accuracy, strike efficiency, and tool fidelity. Macaque tool-use appears facilitated by a propensity for stone manipulation, but challenged by mastering spatial relations and percussion. I relate my findings to the development of stone-tool use in capuchins and chimpanzees, stone-handling in related macaque species, object play in Old World monkeys, and percussion in children, to further understand how biological propensities, environments, and social influences contribute to perception-action learning across species.",2017,10.1037/com0000068,yes,ethology,obs,Macaca_fascicularis,primate,mammal,"direct_obs, direct_video, focal_sampling",69,0.35,0.199879227,,450,AB,yes,ethogram,"foraging_success, tool_use, development, social",,
Palacio_2017,"Palacio, F. X.; Valoy, M.; Bernacki, F.; Sanchez, M. S.; Nunez-Montellano, M. G.; Varela, O.; Ordano, M.",Bird fruit consumption results from the interaction between fruit-handling behaviour and fruit crop size,ETHOLOGY ECOLOGY & EVOLUTION,"Bird foraging behaviour is a major factor involved in mutualistic interactions of fleshy-fruited plants. Despite much research, we still lack quantified demonstrations of how fruit display traits affect fruit removal behaviour. Although the fruit crop size hypothesis proposes a general mechanism for fruit trait selection, it overlooks the fact that distinctive bird behaviours in a bird assemblage would have different effects on fruit crop size. Here, we show that the relevance of fruit crop size for bird fruit consumption is driven by two basic components of fruit foraging behaviour: fruit handling and residence time. We assessed bird fruit-eating behaviour (fruit consumption, fruit handling and residence time) and its relationship with fruit crop size, taking into account body size and spatial focal context (conspecific neighbour density and distance to the forest edge from individual plants) in a population of Vassobia breviflora (Solanaceae) in Tucuman, Argentina. At the assemblage level, fruit consumption was positively related to fruit crop size and residence time, and the interaction between fruit crop size and residence time depended on fruit-handling behaviour. At the functional group level, both gulpers and pulp consumers showed a positive relationship between fruit consumption and residence time. However, gulpers showed a negative interaction between fruit crop size and residence time, while pulp consumers showed no interaction. At the species level, fruit consumption by Turdus rufiventris (gulper) was positively related to fruit crop size, whereas fruit consumption by Thraupis sayaca and Zonotrichia capensis (pulp consumers) depended positively on residence time. Essentially, gulpers spent short residence times in plants with larger fruit crops, whereas pulp consumers spent long residence times in plants regardless of fruit crop size. The segregation between fruit-eating behaviours and their relationship with fruit crop size suggests that bird functional groups (i.e. gulpers and pulp consumers) would shape fruit display traits with different intensities.",2017,10.1080/03949370.2015.1080195,yes,ethology,obs,avian_spp.,birds,bird,direct_obs,n/a,140 points,13.45833333,,120,AB,no,n/a,"frugivory, tree_focal_observation, community_foraging","watched fruit trees and recorded species showing up, resource-centric vs. forager-centric",
Heim_2019,"Heim, Olga; Puisto, Anna I. E.; Fukui, Dai; Vesterinen, Eero J.",Molecular evidence of bird-eating behavior in Nyctalus aviator,ACTA ETHOLOGICA,"Insectivorous bats consume a large variety of food items. Previous observations of feathers found in feces led to the hypothesis that the birdlike noctule (Nyctalus aviator, Vespertilionidae) could prey on birds. To test the hypothesis, we analyzed fecal samples from six species (Barbastella pacifica, Murina hilgendorfi, Myotis frater, N. aviator, Plecotus sacrimontis, and Vespertilio sinensis) collected from central Hokkaido, Japan, via DNA barcoding. We identified the presence of the Middendorff's grasshopper warbler (Locustella ochotensis) in the diet of a pregnant individual of N. aviator. All the other samples proved negative regarding bird prey DNA. This is the first time that the consumption of a bird by N. aviator is confirmed with molecular evidence. Our findings add invaluable insight into the diet of this bat and its potentially opportunistic foraging behavior.",2019,10.1007/s10211-019-00319-5,yes,ethology,obs,Nyctalus_aviator,bat,mammal,fecal_analysis,25,n/a,,,,A,no,n/a,"genetic_fecal_analysis, diet_analysis","opportunistically collected fecals during other projects, time span is not relevant",
Yeap_2021,"Yeap, Lian; Warren, Kristin S.; Bouten, Willem; Vaughan-Higgins, Rebecca; Jackson, Bethany; Riley, Karen; Rycken, Sam; Shephard, Jill M.",Application of tri-axial accelerometer data to the interpretation of movement and behaviour of threatened black cockatoos,WILDLIFE RESEARCH,"Context Carnaby's (Calvptorhychus latirostris), Baudin's (Calyptorhynchus baudinii) and forest red-tailed black cockatoos (Calyptorhynchus banksii naso) are threatened parrot species endemic to south-western Australia. Behavioural monitoring has previously involved direct observation, which has proven challenging because of their cryptic nature, the type of habitat they move through and their speed of movement. The development of a model to accurately classify behaviour from tri-axial accelerometer data will provide greater insight into black cockatoo behaviour and ecology. Aims. To develop an automated classifier model to classify accelerometer data from released black cockatoos to determine behaviour and activity budgets for three species of black cockatoo. Methods. In the present study, we attached tri-axial accelerometers, housed in GPS tags, to four Camaby's cockatoos, three forest red-tailed black cockatoos and two Baudin's cockatoos in captive care, undergoing rehabilitation for release back to the wild. Accelerometer data from these birds was coupled with 19 video files of the birds' behaviour when flying, feeding and resting, to develop an automated behaviour classifier. The classifier was then used to annotate accelerometer data from 15 birds released after successful rehabilitation and to calculate activity budgets for these birds post-release. Key results. We developed a classifier able to identify resting, flying and foraging behaviours from accelerometer data with 86% accuracy, as determined by the percentage of observed behaviours correctly identified by the classifier. The application of the classifier to accelerometer data from 15 released cockatoos enabled us to determine behaviours and activity budgets for all three species of black cockatoo. Black cockatoos spent most of their time at rest, followed by foraging with a short period of time flying. Conclusions. Application of the classifier to data from released birds gives researchers the ability to remotely identify patterns of behaviour and calculate activity budgets.",2021,10.1071/WR20073,yes,accelerometer_remote,obs,Calyptorhynchus_spp.,parrot,bird,"GPS, axy",15,n/a,,1010.88,32.4,BC,yes,ethogram,"ground_truthed, behavioural_state",,
Ditmer_2018,"Ditmer, Mark A.; Moen, Ron A.; Windels, Steve K.; Forester, James D.; Ness, Thomas E.; Harris, Tara R.","Moose at their bioclimatic edge alter their behavior based on weather, landscape, and predators",CURRENT ZOOLOGY,"Populations inhabiting the bioclimatic edges of a species' geographic range face an increasing amount of stress from alterations to their environment associated with climate change. Moose Alces alces are large-bodied ungulates that are sensitive to heat stress and have exhibited population declines and range contractions along their southern geographic extent. Using a hidden Markov model to analyzemovement and accelerometer data, we assigned behaviors (rest, forage, or travel) to all locations of global positioning system-collaredmoose (n = 13, moose-years = 19) living near the southern edge of the species' range in and around Voyageurs National Park, MN, USA. We assessed how moose behavior changed relative to weather, landscape, and the presence of predators. Moose significantly reduced travel and increased resting behaviors at ambient temperatures as low as 15 degrees C and 24 degrees C during the spring and summer, respectively. In general, moose behavior changed seasonally in association with distance to lakes and ponds. Moose used wetlands for travel throughout the year, rested in conifer forests, and foraged in shrublands. The influence of wolves Canis lupus varied among individual moose and season, but the largest influence was a reduction in travel during spring when near a wolf home range core, primarily by pregnant females. Our analysis goes beyond habitat selection to capture how moose alter their activities based on their environment. Our findings, along with climate change forecasts, suggest that moose in this area will be required to further alter their activity patterns and space use in order to find sufficient forage and avoid heat stress.",2018,10.1093/cz/zox047,yes,remote,obs,Alces_alces,ungulate,mammal,"GPS, axy, HMM",13,317,,26786.61538,533.4615385,BC,yes,resting,"ground_truthed_axy, behavioural_state",,
Mahandran_2018,"Mahandran, Valliyappan; Murugan, Chinnaperamanoor Madhappan; Nathan, Parthasarathy Thiruchenthil",Effect of female group size on harem male roosting behavior of the Indian short-nosed fruit bat Cynopterus sphinx,ACTA ETHOLOGICA,"Mate guarding has been known to incur costs and cause constraints for harem males in many polygynous species. However, the effect of female group size on the harem male's time budget in bats has received very limited attention. The Indian short-nosed fruit bat, Cynopterus sphinx, exhibits resource defense polygyny, in which tent roosting males construct tents and defend multiple female bats. We studied the effect of female group size on three aspects of harem male behavior: social grooming by reciprocal licking, tent maintenance, and tent guarding in the mast tree Polyalthia longifolia. In the process of reciprocal licking, all the bats in the harem were drenched in saliva before emergence, and this activity was positively and significantly correlated with female group size. Once females departed for foraging, harem males remained in their respective tents at night-time between intermittent foraging bouts and engaged in tent maintenance and tent guarding. Time invested by harem male bats in tent maintenance and tent guarding were positively and significantly correlated with female group size. Harem males extended their presence in tent by utilizing tents as feeding roosts. Female group size also influenced the emergence time of harem male bats, where males with largest group emerged later than did the smallest group. Likewise, harem male with the smallest group had more time available for foraging than the male with the largest group. Findings of this study suggest that having a larger harem may indeed be costly for the males by reducing their foraging time.",2018,10.1007/s10211-017-0276-1,yes,ethology,obs,Cynopterus_sphinx,bat,mammal,direct_video,n/a,5 points,3.25,,90,C,no,socialise,group_nesting,"""time spent away from tent [=nest] was assumed to be foraging time""",
